elapse,in,out,current,existing,creating,averageLatency
5939552,0,0,0,0,0,NaN
113985995,0,0,0,0,0,NaN
213720677,0,0,0,0,0,NaN
314175243,0,0,0,0,0,NaN
413057487,0,0,0,0,0,NaN
514255291,0,0,0,0,0,NaN
614552515,0,0,0,0,0,NaN
713992559,0,0,0,0,0,NaN
814182880,0,0,0,0,0,NaN
913339989,0,0,0,0,0,NaN
1014558822,0,0,0,0,0,NaN
1114226400,0,0,0,0,0,NaN
1213929907,0,0,0,0,0,NaN
1314249159,0,0,0,0,0,NaN
1413762277,0,0,0,0,0,NaN
1513941920,0,0,0,0,0,NaN
1613982490,0,0,0,0,0,NaN
1713891406,0,0,0,0,0,NaN
1814498804,0,0,0,0,0,NaN
1914415004,0,0,0,0,0,NaN
2014963640,0,0,0,0,0,NaN
2113612044,0,0,0,0,0,NaN
2215760201,0,0,0,0,0,NaN
2313683909,0,0,0,0,0,NaN
2413873724,0,0,0,0,0,NaN
2514468297,0,0,0,0,0,NaN
2614394149,0,0,0,0,0,NaN
2714061641,0,0,0,0,0,NaN
2813739475,0,0,0,0,0,NaN
2914277679,0,0,0,0,0,NaN
3013896078,0,0,0,0,0,NaN
3114468972,0,0,0,0,0,NaN
3214435231,0,0,0,0,0,NaN
3314894190,0,0,0,0,0,NaN
3414460452,0,0,0,0,0,NaN
3514632407,0,0,0,0,0,NaN
3615335559,0,0,0,0,0,NaN
3714251270,0,0,0,0,0,NaN
3813829077,0,0,0,0,0,NaN
3914963638,0,0,0,0,0,NaN
4014345944,0,0,0,0,0,NaN
4113994377,0,0,0,0,0,NaN
4213339049,0,0,0,0,0,NaN
4314178358,0,0,0,0,0,NaN
4413499058,0,0,0,0,0,NaN
4514018485,0,0,0,0,0,NaN
4614198727,0,0,0,0,0,NaN
4713424572,0,0,0,0,0,NaN
4813537456,0,0,0,0,0,NaN
4914198749,0,0,0,0,0,NaN
5013904508,0,0,0,0,0,NaN
5113565576,0,0,0,0,0,NaN
5215605152,0,0,0,0,0,NaN
5313809728,0,0,0,0,0,NaN
5413970313,0,0,0,0,0,NaN
5513484237,0,0,0,0,0,NaN
5615215949,2,0,2,0,0,NaN
5714138267,2,0,4,0,6,NaN
5813382427,3,0,7,0,6,NaN
5914421513,2,0,9,0,7,NaN
6013988463,0,0,3,6,1,286.1916018333334
6113830021,2,6,0,6,1,222.5255874545455
6214000201,0,5,0,7,1,222.5255874545455
6314528077,0,0,0,7,1,222.5255874545455
6414287210,1,0,0,7,1,203.99681925000004
6513959694,6,1,0,8,0,136.1941387777778
6614191406,5,6,0,8,0,106.62455373913045
6714345627,6,5,0,8,1,87.4775067586207
6814421645,2,5,0,8,2,81.84435903225808
6914270490,6,3,0,8,2,68.60188664864866
7013795587,6,3,0,9,2,59.07455939534886
7114264573,3,8,0,10,1,55.24705393478262
7214254687,3,4,0,10,1,51.87382748979593
7313718655,6,2,0,11,0,46.23871832727274
7413558031,3,6,0,11,0,43.857008068965534
7514402020,7,3,0,11,0,39.15698167692309
7614565013,0,6,0,11,1,39.15698167692309
7713173748,4,2,0,11,1,36.900470000000006
7814056993,8,4,0,11,1,33.08918394805196
7913806486,4,7,0,12,0,31.465250987654333
8014508445,4,3,0,12,0,29.994930823529426
8113234924,8,4,0,12,0,27.444447408602166
8213251390,4,9,0,12,0,26.318481123711354
8314350041,10,5,0,12,0,23.871536663551414
8414553571,8,8,0,12,1,23.27496899130436
8515000473,5,10,0,12,2,22.311762016666677
8613704121,7,5,0,12,2,21.09587497637796
8713718681,4,5,0,13,1,20.459633290076347
8814640769,8,5,0,14,0,19.291857510791377
8914498445,8,7,0,14,0,18.255032666666672
9013393934,5,6,0,14,0,17.667052842105267
9113299593,8,8,0,14,0,16.795077343750002
9213411370,9,8,0,14,0,15.909735242603555
9314156201,11,7,0,14,0,14.945350461111115
9413958551,14,11,3,14,2,15.552745481675398
9513814329,10,11,2,14,3,15.878048495049509
9613747369,2,11,0,14,4,15.777024985436897
9713291044,11,7,0,16,2,14.982896635944707
9813836497,8,10,0,17,1,14.45681715111112
